opDate,Unnamed: 0,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye
2011-03-31,0,464982111,7392734666,1264039,3281214,62573333,7455307999
2011-04-01,0,403850864,7438833665,974641,2462979,50316592,7489150257
2011-04-06,0,599364509,7465149400,1948112,3475825,67551698,7532701098
2011-04-07,0,751266787,7648005577,1493490,4181063,81493874,7729499451
2011-04-08,0,593836034,7629891804,691190,3698999,73650756,7703542560
2011-04-11,0,924876433,7828915501,2677932,3680072,62901550,7891817051
2011-04-12,0,690878628,7962021929,2220132,3707469,60480588,8022502517
2011-04-13,0,619696573,8059920454,2161848,4385314,73617228,8133537682
2011-04-14,0,587397540,8130525283,1659511,4868983,77142521,8207667804
2011-04-15,0,632218877,8271149202,2640909,4741940,69163965,8340313167
2011-04-18,0,696521959,8368379870,2466116,4820295,75420306,8443800176
2011-04-19,0,548798822,8328622379,2457487,5101408,75858405,8404480784
2011-04-20,0,575333243,8409289874,1906312,4486147,68989551,8478279425
2011-04-21,0,428139153,8413276304,1796498,4359979,66897347,8480173651
2011-04-22,0,495245356,8433564622,1236007,4002098,60937017,8494501639
2011-04-25,0,561009134,8454549107,1004760,3601477,61543670,8516092777
2011-04-26,0,402452022,8467286433,1131825,3055021,55778842,8523065275
2011-04-27,0,387327616,8453532826,3434810,4594800,78274901,8531807727
2011-04-28,0,476414949,8479605835,2782658,4770224,83201128,8562806963
2011-04-29,0,344581162,8471313494,1855421,4406496,76005914,8547319408
2011-05-03,0,362054676,8447192952,2281534,4919904,81299808,8528492760
2011-05-04,0,421354940,8490462139,2855075,4625013,80459587,8570921726
2011-05-05,0,427234895,8521220807,3435117,5691478,88876972,8610097779
2011-05-06,0,427755835,8530600268,1794310,4536984,81951323,8612551591
2011-05-09,0,323384346,8543860322,2313619,5054401,89247463,8633107785
2011-05-10,0,280411870,8575015677,2250735,4867628,85006937,8660022614
2011-05-11,0,303401230,8574790739,2334705,5486408,95075015,8669865754
2011-05-12,0,339250993,8519358299,2018175,4840037,91294277,8610652576
2011-05-13,0,354025990,8629252915,1802605,4827585,95381978,8724634893
2011-05-16,0,305791589,8701447089,1507598,4872087,92524085,8793971174
2011-05-17,0,450590137,8797164800,2318766,5400072,102342788,8899507588
2011-05-18,0,324735823,8874571321,1497632,5122060,93849614,8968420935
2011-05-19,0,364389752,8949346593,1147943,4840338,91003056,9040349649
2011-05-20,0,295789122,9000190754,2196460,5110390,94838515,9095029269
2011-05-23,0,326234379,8947701185,2037252,4896884,92726334,9040427519
2011-05-24,0,275859568,8988316136,2616565,4938902,89636813,9077952949
2011-05-25,0,276624605,9053323974,1757384,4975397,87880754,9141204728
2011-05-26,0,274469641,9079150796,2139970,4606402,79415261,9158566057
2011-05-27,0,276052255,9060876964,3010867,4672273,83169609,9144046573
2011-05-30,0,238758908,9062148563,1978570,5311841,95335415,9157483978
2011-05-31,0,366249539,9145273821,3710003,5406028,96935563,9242209384
2011-06-01,0,347136422,9186490373,2789468,6104068,104579645,9291070018
2011-06-02,0,429848449,9223848503,2658610,5476273,94753419,9318601922
2011-06-03,0,335082966,9251921673,982737,4898598,90657757,9342579430
2011-06-07,0,271115133,9236171416,2385739,5984537,102758914,9338930330
2011-06-08,0,291752599,9264204948,2130593,5902115,103334199,9367539147
2011-06-09,0,288520669,9292913938,2131547,5932494,101692388,9394606326
2011-06-10,0,369065296,9378764064,2326175,5768670,99474985,9478239049
2011-06-13,0,267614178,9418540791,2267886,5558851,98295934,9516836725
2011-06-14,0,359154844,9378814750,3912324,6113559,106268864,9485083614
2011-06-15,0,457743375,9448018076,2514808,5992601,104299104,9552317180
2011-06-16,0,318542166,9500175541,2348796,5805017,101418589,9601594130
2011-06-17,0,316073891,9508764330,3155895,6466691,112799504,9621563834
2011-06-20,0,387072844,9581600485,2951401,6065616,100738062,9682338547
2011-06-21,0,338159732,9642863703,3218459,6532099,108268827,9751132530
2011-06-22,0,318281186,9648426689,3683899,7227504,117319344,9765746033
2011-06-23,0,443606958,9604643499,2889177,7710298,134809502,9739453001
2011-06-24,0,712274115,9550881596,3681600,8288871,139379918,9690261514
2011-06-27,0,710130808,9681813727,1574402,6825314,125200516,9807014243
2011-06-28,0,602890280,9885880523,2058765,7036873,128396663,10014277186
2011-06-29,0,488677100,9918757231,2457125,7186111,121945620,10040702851
2011-06-30,0,698880606,10008627553,3050501,7569272,134807843,10143435396
2011-07-01,0,814505283,10229910549,4261644,9290744,150496222,10380406771
2011-07-04,0,889706667,10320251059,2563225,9943894,161390215,10481641274
2011-07-05,0,680958022,10503259209,2415244,9647758,155665625,10658924834
2011-07-06,0,871481593,10957137055,2018690,9762090,162699074,11119836129
